Brand,Model,Body_Type,Fuel,Transmission,Owner,Owner_No,Year,KM,Price,Seats,Engine_CC,Power,City
Tata,Tata Harrier,SUV,Diesel,Manual,1st Owner,1,2020,100000.0,1470000.0,5.0,1956.0,138.1bhp,Jaipur
Honda,Honda Brio,Hatchback,Petrol,Manual,1st Owner,1,2015,67194.0,309000.0,5.0,1198.0,86.8bhp,Jaipur
Honda,Honda City,Sedan,Petrol,Manual,2nd Owner,2,2016,69236.0,586000.0,5.0,1497.0,117.3bhp,Jaipur
Honda,Honda WR-V,SUV,Diesel,Manual,1st Owner,1,2019,80000.0,900000.0,5.0,1498.0,98.6bhp,Jaipur
Jeep,Jeep Compass,SUV,Petrol,Manual,2nd Owner,2,2018,90000.0,900000.0,5.0,1368.0,160bhp,Jaipur
MG,MG Hector,SUV,Diesel,Manual,1st Owner,1,2020,60000.0,1550000.0,5.0,1956.0,167.68bhp,Jaipur
Land Rover,Land Rover Discovery Sport,SUV,Diesel,Automatic,2nd Owner,2,2017,80000.0,2300000.0,7.0,1999.0,148.31bhp,Jaipur
Land Rover,Land Rover Range Rover Evoque,SUV,Diesel,Automatic,2nd Owner,2,2016,81317.0,3200000.0,5.0,1999.0,177bhp,Jaipur
Hyundai,Hyundai i10,Hatchback,Petrol,Manual,2nd Owner,2,2015,60000.0,254999.99999999997,5.0,1197.0,78.9bhp,Jaipur
Renault,Renault Duster,SUV,Diesel,Manual,1st Owner,1,2015,80000.0,355000.0,5.0,1461.0,83.8bhp,Jaipur
Renault,Renault Duster,SUV,Diesel,Manual,2nd Owner,2,2018,60000.0,650000.0,5.0,1461.0,83.8bhp,Jaipur
Hyundai,Hyundai Grand i10,Hatchback,Diesel,Manual,3rd Owner,3,2014,110000.0,275000.0,5.0,1120.0,70bhp,Jaipur
Ford,Ford Fiesta Classic,Sedan,Diesel,Manual,2nd Owner,2,2011,120000.0,150000.0,5.0,1399.0,67bhp,Jaipur
